# Gene Family	AA_combined_Abundance-RPKs	B1_combined_Abundance-RPKs	C1_combined_Abundance-RPKs	D1_combined_Abundance-RPKs	E1_combined_Abundance-RPKs	F1_combined_Abundance-RPKs
K00124|g__Pantoea.s__Pantoea_agglomerans	0.0	0.0541723	0.0	0.0	0.0	0.0
K00124|g__Pantoea.s__Pantoea_vagans	0.0	0.108345	0.0	0.0	0.0	0.0
K00127	0.0	0.450912	0.0	0.0	0.0	0.0
K00127|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.162085	0.0	0.0	0.0	0.0
K00127|g__Pantoea.s__Pantoea_agglomerans	0.0	0.288827	0.0	0.0	0.0	0.0
K00128	8.95917	2.656584	19.32269	29.80742	28.18889	33.1289
K00128|g__Saccharomyces.s__Saccharomyces_cerevisiae	8.95917	2.656584	19.32269	29.80742	28.18889	33.1289
K00129	5.22476	1.586416	11.34789	15.480789999999999	16.186970000000002	17.82454
K00129|g__Saccharomyces.s__Saccharomyces_cerevisiae	5.22476	1.586416	11.34789	15.480789999999999	16.186970000000002	17.82454
K00133	128.64336	5.509699	67.54684999999999	48.73935	66.01857	11.429171
K00133|g__Lactobacillus.s__Lactobacillus_plantarum	123.321	4.54513	60.6181	38.9052	55.8171	0.296771
K00133|g__Saccharomyces.s__Saccharomyces_cerevisiae	4.06836	0.964569	6.27485	9.83415	9.62877	11.1324
K00133|unclassified	1.25422	0.0	0.653906	0.0	0.572743	0.0
K00134	12.37525	4.703598	21.61675	32.8419	32.841	35.584199999999996
K00134|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.372388	0.0	0.0	0.0	0.0
K00134|g__Saccharomyces.s__Saccharomyces_cerevisiae	12.37525	4.3312100000000004	21.61675	32.8419	32.841	35.584199999999996
K00135	2.73963	0.820306	4.39195	6.99633	6.54637	7.07682
K00135|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.124605	0.0	0.0	0.0	0.0
K00135|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.73963	0.695701	4.39195	6.99633	6.54637	7.07682
K00143	2.97707	0.964085	6.42129	9.2631	9.06753	10.5501
